f 1m 1f 2m 2f 3m 3f 4m 4f jL2m jL2f jL4m jL4f jVINm jVINf 
1.30836 0.00371116 144.014 0.454094 -62.9914 1 0 0.0214617 -62.293 0.564203 26.9739 0.0215374 31.503 0.890939 -152.993
1.327 0.00431284 142.606 0.443109 -63.6949 1 0 0.0267728 -63.1134 0.535325 26.2677 0.0262544 30.38 0.896447 -153.698
1.3459 0.00470081 141.273 0.432652 -64.3608 1 0 0.031394 -63.878 0.50869 25.6014 0.0300907 29.3297 0.901537 -154.364
1.36507 0.00491769 140.008 0.422675 -64.9928 1 0 0.0354212 -64.5933 0.484041 24.9707 0.0331911 28.3445 0.906255 -154.996
1.38452 0.00499783 138.805 0.413136 -65.5942 1 0 0.0389343 -65.2651 0.461157 24.3716 0.0356744 27.418 0.910642 -155.598
1.40425 0.00496903 137.658 0.403999 -66.1678 1 0 0.0420002 -65.898 0.439851 23.8009 0.0376387 26.5445 0.914732 -156.172
1.42425 0.00485387 136.562 0.395231 -66.7159 1 0 0.0446753 -66.4961 0.419964 23.2561 0.0391652 25.7193 0.918556 -156.72
1.44454 0.00467076 135.513 0.386805 -67.2407 1 0 0.0470077 -67.0629 0.401358 22.7347 0.0403219 24.9382 0.922138 -157.244
1.46512 0.00443475 134.507 0.378695 -67.7439 1 0 0.0490381 -67.6013 0.383911 22.2349 0.0411654 24.1974 0.9255 -157.747
1.48599 0.00415818 133.541 0.37088 -68.2272 1 0 0.0508019 -68.114 0.36752 21.7548 0.0417437 23.4938 0.928662 -158.23
1.50716 0.00385117 132.612 0.36334 -68.692 1 0 0.0523293 -68.6033 0.352093 21.2931 0.0420971 22.8243 0.931641 -158.695
1.52864 0.003522 131.717 0.356058 -69.1396 1 0 0.0536465 -69.0711 0.337548 20.8483 0.0422598 22.1866 0.934451 -159.142
1.55041 0.0031775 130.855 0.349016 -69.5711 1 0 0.0547765 -69.5191 0.323814 20.4193 0.0422608 21.5782 0.937106 -159.573
1.5725 0.00282326 130.022 0.342202 -69.9875 1 0 0.0557392 -69.949 0.310827 20.005 0.0421252 20.9971 0.939618 -159.989
1.5949 0.00246385 129.218 0.335601 -70.3898 1 0 0.0565522 -70.3621 0.29853 19.6046 0.0418739 20.4414 0.941998 -160.391
1.61763 0.00210302 128.441 0.329202 -70.7788 1 0 0.0572308 -70.7596 0.286871 19.2171 0.0415252 19.9095 0.944255 -160.78
1.64067 0.0017438 127.688 0.322994 -71.1553 1 0 0.0577888 -71.1427 0.275805 18.8419 0.0410947 19.3998 0.946398 -161.156
1.66404 0.00138865 126.959 0.316968 -71.52 1 0 0.0582381 -71.5123 0.265291 18.4783 0.0405958 18.9109 0.948434 -161.52
1.68775 0.00103957 126.253 0.311112 -71.8735 1 0 0.0585895 -71.8694 0.25529 18.1255 0.0400401 18.4416 0.950372 -161.874
1.7118 0.000698128 125.567 0.30542 -72.2165 1 0 0.0588525 -72.2146 0.245768 17.7831 0.0394375 17.9906 0.952217 -162.217
1.73618 0.000365565 124.901 0.299884 -72.5494 1 0 0.0590357 -72.5489 0.236695 17.4505 0.0387965 17.5569 0.953976 -162.549
1.76092 4.28455e-05 124.255 0.294495 -72.8727 1 0 0.0591467 -72.8727 0.228042 17.1273 0.0381248 17.1395 0.955653 -162.873
1.786 0.000269304 -56.3741 0.289248 -73.187 1 0 0.0591924 -73.1868 0.219782 16.8129 0.0374286 16.7375 0.957254 -163.187
1.81145 0.000570352 -56.9855 0.284136 -73.4927 1 0 0.0591789 -73.4916 0.211893 16.507 0.0367135 16.35 0.958784 -163.493
1.83725 0.00085993 -57.5806 0.279154 -73.7901 1 0 0.0591117 -73.7877 0.204352 16.2092 0.0359843 15.9763 0.960246 -163.79
1.86343 0.00113781 -58.16 0.274295 -74.0797 1 0 0.058996 -74.0756 0.197138 15.9191 0.0352453 15.6157 0.961644 -164.08
