f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
0.141955 4.76364 180 2.24264 -180 1 0 5.14078 90 2.00029 90 5.14078 -90
0.142283 4.91831 180 2.35582 -180 1 0 5.29092 90 2.10608 90 5.29092 -90
0.142611 5.08353 180 2.47836 -180 1 0 5.45117 90 2.22074 90 5.45117 -90
0.14294 5.26048 180 2.61138 -180 1 0 5.62267 90 2.34534 90 5.62267 -90
0.14327 5.45052 180 2.75621 -180 1 0 5.80672 90 2.48112 90 5.80672 -90
0.143601 5.65524 180 2.91435 -180 1 0 6.00483 90 2.62954 90 6.00483 -90
0.143932 5.8765 -180 3.08763 -180 1 0 6.21878 90 2.79231 90 6.21878 -90
0.144264 6.11649 180 3.27816 -180 1 0 6.45067 90 2.97146 90 6.45067 -90
0.144597 6.37783 180 3.4885 -180 1 0 6.70299 90 3.16941 90 6.70299 -90
0.144931 6.66365 180 3.72169 -180 1 0 6.97874 90 3.38908 90 6.97874 -90
0.145265 6.97774 -180 3.98146 -180 1 0 7.28152 90 3.634 90 7.28152 -90
0.145601 7.32473 180 4.27235 -180 1 0 7.61576 90 3.90849 90 7.61576 -90
0.145937 7.71032 180 4.59997 -180 1 0 7.9869 90 4.21792 90 7.9869 -90
0.146273 8.14165 180 4.97136 -180 1 0 8.40175 90 4.56899 90 8.40175 -90
0.146611 8.62776 180 5.39548 -180 1 0 8.86893 90 4.97022 90 8.86893 -90
0.146949 9.18026 180 5.88382 -180 1 0 9.39953 90 5.43258 90 9.39953 -90
0.147288 9.81436 180 6.45146 -180 1 0 10.008 90 5.97044 90 10.008 -90
0.147628 10.5503 180 7.11856 -180 1 0 10.7138 90 6.603 90 10.7138 -90
0.147969 11.4158 180 7.91265 -180 1 0 11.5432 90 7.35651 90 11.5432 -90
0.14831 12.4496 180 8.87234 -180 1 0 12.5331 90 8.26778 90 12.5331 -90
0.148652 13.7077 180 10.0536 -180 1 0 13.7372 90 9.39015 90 13.7372 -90
0.148996 15.2746 180 11.5405 -180 1 0 15.2357 90 10.8038 90 15.2357 -90
0.149339 17.2829 180 13.4657 -180 1 0 17.1553 90 12.6352 90 17.1553 -90
0.149684 19.9549 180 16.0512 -180 1 0 19.7079 90 15.096 90 19.7079 -90
0.150029 23.6925 180 19.6987 -180 1 0 23.2767 90 18.5692 90 23.2767 -90
0.150376 29.3052 180 25.2175 -180 1 0 28.6335 90 23.8265 90 28.6335 -90
0.150723 38.7028 -180 34.5172 -180 1 0 37.5993 90 32.6884 90 37.5993 -90
0.15107 57.7274 -180 53.4396 -180 1 0 55.7442 90 50.725 90 55.7442 -90
0.151419 117.01 180 112.615 -180 1 0 112.274 90 107.141 90 112.274 -90
0.151768 1889.78 -0 1894.29 -0 1 -0 1801.12 -90 1806.37 -90 1801.12 90
0.152119 100.522 -0 105.145 -0 1 -0 95.1219 -90 100.497 -90 95.1219 90
0.15247 50.5983 -0 55.3447 -0 1 -0 47.5149 -90 53.02 -90 47.5149 90
0.152821 33.29 -0 38.1652 -0 1 -0 31.005 -90 36.6464 -90 31.005 90
0.153174 24.4785 -0 29.4892 -0 1 -0 22.5962 -90 28.381 -90 22.5962 90
0.153528 19.1215 -0 24.2746 -0 1 -0 17.4808 -90 23.4163 -90 17.4808 90
0.153882 15.506 -0 20.8092 -0 1 -0 14.0254 -90 20.1197 -90 14.0254 90
0.154237 12.8897 -0 18.3512 -0 1 -0 11.5223 -90 17.7842 -90 11.5223 90
0.154593 10.8988 -0 16.5276 -0 1 -0 9.61506 -90 16.0538 -90 9.61506 90
0.15495 9.32423 -0 15.13 -0 1 -0 8.10428 -90 14.7302 -90 8.10428 90
0.155307 8.03992 -0 14.0333 -0 1 -0 6.86971 -90 13.694 -90 6.86971 90
0.155665 6.96518 -0 13.1577 -0 1 -0 5.83439 -90 12.8692 -90 5.83439 90
0.156025 6.04589 -0 12.4503 -0 1 -0 4.94664 -90 12.2054 -90 4.94664 90
0.156385 5.24424 -0 11.8744 -0 1 -0 4.17037 -90 11.6677 -90 4.17037 90
0.156746 4.53294 -0 11.4043 -0 1 -0 3.47946 -90 11.2316 -90 3.47946 90
0.157107 3.89165 -0 11.0211 -0 1 -0 2.85445 -90 10.8793 -90 2.85445 90
0.15747 3.30478 -0 10.7111 -0 1 -0 2.28037 -90 10.5977 -90 2.28037 90
0.157833 2.76003 -0 10.4642 -0 1 -0 1.74541 -90 10.3773 -90 1.74541 90
0.158197 2.24744 -0 10.2729 -0 1 -0 1.23993 -90 10.2111 -90 1.23993 90
0.158562 1.75866 -0 10.1317 -0 1 -0 0.755832 -90 10.094 -90 0.755832 90
0.158928 1.28648 -0 10.0367 -0 1 -0 0.286075 -90 10.0224 -90 0.286075 90
0.159295 0.824459 0 9.98551 0 1 -0 0.175695 90 9.9943 -90 0.175695 -90
0.159663 0.366574 0 9.97673 0 1 -0 0.635447 90 10.0085 -90 0.635447 -90
0.160031 0.0930099 180 10.0102 0 1 -0 1.09903 90 10.0653 -90 1.09903 -90
0.1604 0.560199 180 10.0867 0 1 -0 1.57241 90 10.1656 -90 1.57241 -90
0.16077 1.04123 180 10.2082 0 1 -0 2.06195 90 10.3118 -90 2.06195 -90
0.161141 1.54296 180 10.3781 0 1 -0 2.5747 90 10.5076 -90 2.5747 -90
0.161513 2.0732 180 10.601 0 1 -0 3.11874 90 10.7581 -90 3.11874 -90
0.161886 2.64117 180 10.8836 0 1 -0 3.70365 90 11.0704 -90 3.70365 -90
0.16226 3.2581 180 11.2348 0 1 -0 4.34116 90 11.454 -90 4.34116 -90
0.162634 3.93806 180 11.6668 0 1 -0 5.046 90 11.9218 -90 5.046 -90
0.163009 4.69919 180 12.1959 0 1 -0 5.8372 90 12.4913 -90 5.8372 -90
0.163385 5.56555 180 12.8448 0 1 -0 6.74006 90 13.1862 -90 6.74006 -90
0.163762 6.57002 180 13.6449 0 1 -0 7.78917 90 14.04 -90 7.78917 -90
0.16414 7.75899 180 14.6416 0 1 -0 9.03336 90 15.1003 -90 9.03336 -90
0.164519 9.20044 180 15.9018 0 1 -0 10.5442 90 16.4377 -90 10.5442 -90
0.164899 10.9984 180 17.5285 0 1 -0 12.4314 90 18.161 -90 12.4314 -90
0.165279 13.3207 180 19.6888 0 1 -0 14.8717 90 20.4464 -90 14.8717 -90
0.165661 16.4576 180 22.6723 0 1 -0 18.1712 90 23.5991 -90 18.1712 -90
0.166043 20.9587 180 27.0279 0 1 -0 22.9091 90 28.1976 -90 22.9091 -90
0.166426 28.0056 180 33.9364 0 1 -0 30.3307 90 35.4869 -90 30.3307 -90
0.16681 40.6896 180 46.489 0 1 -0 43.6948 90 48.725 -90 43.6948 -90
0.167195 70.4899 180 76.164 0 1 -0 75.1013 90 80.0115 -90 75.1013 -90
0.167581 225.716 180 231.271 0 1 -0 238.719 90 243.514 -90 238.719 -90
0.167967 209.248 0 203.807 180 1 -0 219.778 -90 215.092 90 219.778 90
0.168355 74.0025 0 68.6707 180 1 -0 77.2225 -90 72.6403 90 77.2225 90
0.168744 45.8068 0 40.5791 180 1 -0 47.5063 -90 43.0239 90 47.5063 90
0.169133 33.5777 0 28.4497 180 1 -0 34.6201 -90 30.2334 90 34.6201 90
0.169523 26.7329 0 21.7005 180 1 -0 27.4093 -90 23.1142 90 27.4093 90
0.169914 22.3502 0 17.4094 180 1 -0 22.7936 -90 18.5864 90 22.7936 90
0.170307 19.2986 0 14.4457 180 1 -0 19.5807 -90 15.4579 90 19.5807 90
0.170699 17.048 0 12.2797 180 1 -0 17.2121 -90 13.1704 90 17.2121 90
0.171093 15.3171 0 10.63 180 1 -0 15.3911 -90 11.4274 90 15.3911 90
