f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.0205651 1 45 0.991755 -7.36265 1 0 0.128149 172.637 1 90 0.0169798 179.812 0.0172947 168.862 30.9724 -43.1498 30.4558 -43.1184 1 0 0.247939 82.6374 0.032852 89.8118 1 -135 0.0320373 -97.3626 0.247939 -97.3626 0.032852 -90.1882
0.021049 1 45 0.991367 -7.53393 1 0 0.131113 172.466 1 90 0.0178027 179.807 0.018118 169.103 30.2611 -43.1063 29.7324 -43.0726 1 0 0.247842 82.4661 0.0336522 89.8072 1 -135 0.0327783 -97.5339 0.247842 -97.5339 0.0336522 -90.1928
0.0215443 1 45 0.990962 -7.7091 1 0 0.134144 172.291 1 90 0.0186662 179.802 0.0189819 169.339 29.5662 -43.0617 29.025 -43.0256 1 0 0.24774 82.2909 0.0344733 89.8025 1 -135 0.0335359 -97.7091 0.24774 -97.7091 0.0344733 -90.1975
0.0220513 1 45 0.990538 -7.88825 1 0 0.137241 172.112 1 90 0.0195724 179.798 0.0198885 169.569 28.8872 -43.0162 28.3334 -42.9774 1 0 0.247634 82.1117 0.0353158 89.7977 1 -135 0.0343104 -97.8883 0.247634 -97.8883 0.0353158 -90.2023
0.0225702 1 45 0.990094 -8.07145 1 0 0.140408 171.929 1 90 0.0205235 179.793 0.0208399 169.795 28.2239 -42.9695 27.657 -42.9279 1 0 0.247523 81.9285 0.0361806 89.7927 1 -135 0.035102 -98.0715 0.247523 -98.0715 0.0361806 -90.2073
0.0231013 1 45 0.989629 -8.25879 1 0 0.143644 171.741 1 90 0.0215217 179.788 0.0218386 170.015 27.5759 -42.9218 26.9957 -42.8771 1 0 0.247407 81.7412 0.0370682 89.7876 1 -135 0.0359111 -98.2588 0.247407 -98.2588 0.0370682 -90.2124
0.0236449 1 45 0.989144 -8.45035 1 0 0.146952 171.55 1 90 0.0225696 179.782 0.0228869 170.23 26.9428 -42.8729 26.3489 -42.825 1 0 0.247286 81.5496 0.0379793 89.7824 1 -135 0.0367381 -98.4504 0.247286 -98.4504 0.0379793 -90.2176
0.0242013 1 45 0.988635 -8.64623 1 0 0.150333 171.354 1 90 0.0236697 179.777 0.0239875 170.441 26.3242 -42.8229 25.7164 -42.7715 1 0 0.247159 81.3538 0.0389148 89.777 1 -135 0.0375833 -98.6462 0.247159 -98.6462 0.0389148 -90.223
0.0247708 1 45 0.988104 -8.8465 1 0 0.153788 171.154 1 90 0.0248247 179.772 0.025143 170.646 25.7199 -42.7718 25.0978 -42.7165 1 0 0.247026 81.1535 0.0398754 89.7715 1 -135 0.0384469 -98.8465 0.247026 -98.8465 0.0398754 -90.2285
0.0253536 1 45 0.987548 -9.05126 1 0 0.157318 170.949 1 90 0.0260376 179.766 0.0263562 170.847 25.1295 -42.7194 24.4928 -42.6601 1 0 0.246887 80.9487 0.040862 89.7659 1 -135 0.0393295 -99.0513 0.246887 -99.0513 0.040862 -90.2341
