f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
5.46228 0.00111753 -90.002 0 0 0.00012417 89.9984 0.445697 1.26674e-05 0 0 1 0 0 0 0.00361796 180 1.11753e-08 89.998 6.11862e-12 90 5.28643e-10 -90 4.14027e-10 90.0002 1.11424e-05 179.999
5.59081 0.00114383 -90.002 0 0 0.000127092 89.9984 0.445697 1.29655e-05 0 0 1 0 0 0 0.00361796 180 1.14383e-08 89.998 6.2626e-12 90 5.41082e-10 -90 4.23769e-10 90.0003 1.11424e-05 179.999
5.72237 0.00117074 -90.0021 0 0 0.000130083 89.9983 0.445697 1.32706e-05 0 0 1 0 0 0 0.00361796 180 1.17074e-08 89.9979 6.40997e-12 90 5.53815e-10 -90 4.33741e-10 90.0003 1.11424e-05 179.999
5.85702 0.00119829 -90.0021 0 0 0.000133144 89.9983 0.445697 1.35829e-05 0 0 1 0 0 0 0.00361796 180 1.19829e-08 89.9979 6.5608e-12 90 5.66846e-10 -90 4.43947e-10 90.0003 1.11424e-05 179.999
5.99484 0.00122649 -90.0022 0 0 0.000136277 89.9982 0.445697 1.39025e-05 0 0 1 0 0 0 0.00361796 180 1.22649e-08 89.9978 6.71518e-12 90 5.80185e-10 -90 4.54394e-10 90.0003 1.11424e-05 179.999
6.13591 0.00125535 -90.0022 0 0 0.000139483 89.9982 0.445697 1.42296e-05 0 0 1 0 0 0 0.00361796 180 1.25535e-08 89.9978 6.8732e-12 90 5.93837e-10 -90 4.65086e-10 90.0003 1.11424e-05 179.999
6.28029 0.00128489 -90.0023 0 0 0.000142766 89.9982 0.445697 1.45645e-05 0 0 1 0 0 0 0.00361796 180 1.28489e-08 89.9977 7.03493e-12 90 6.07811e-10 -90 4.7603e-10 90.0003 1.11424e-05 179.999
6.42807 0.00131513 -90.0023 0 0 0.000146125 89.9981 0.445697 1.49072e-05 0 0 1 0 0 0 0.00361796 180 1.31513e-08 89.9977 7.20047e-12 90 6.22113e-10 -90 4.87232e-10 90.0003 1.11424e-05 179.999
6.57933 0.00134607 -90.0024 0 0 0.000149564 89.9981 0.445697 1.52579e-05 0 0 1 0 0 0 0.00361796 180 1.34607e-08 89.9976 7.3699e-12 90 6.36752e-10 -90 4.98697e-10 90.0003 1.11424e-05 179.999
6.73415 0.00137775 -90.0024 0 0 0.000153083 89.998 0.445697 1.5617e-05 0 0 1 0 0 0 0.00361796 180 1.37775e-08 89.9976 7.54332e-12 90 6.51736e-10 -90 5.10432e-10 90.0003 1.11424e-05 179.999
6.89261 0.00141017 -90.0025 0 0 0.000156685 89.998 0.445697 1.59845e-05 0 0 1 0 0 0 0.00361796 180 1.41017e-08 89.9975 7.72083e-12 90 6.67072e-10 -90 5.22443e-10 90.0003 1.11424e-05 179.999
7.0548 0.00144335 -90.0026 0 0 0.000160372 89.9979 0.445697 1.63606e-05 0 0 1 0 0 0 0.00361796 180 1.44335e-08 89.9974 7.9025e-12 90 6.82769e-10 -90 5.34736e-10 90.0003 1.11424e-05 179.999
7.22081 0.00147731 -90.0026 0 0 0.000164146 89.9979 0.445697 1.67456e-05 0 0 1 0 0 0 0.00361796 180 1.47731e-08 89.9974 8.08846e-12 90 6.98835e-10 -90 5.47319e-10 90.0003 1.11424e-05 179.999
7.39072 0.00151207 -90.0027 0 0 0.000168008 89.9978 0.445697 1.71396e-05 0 0 1 0 0 0 0.00361796 180 1.51207e-08 89.9973 8.27879e-12 90 7.15279e-10 -90 5.60198e-10 90.0003 1.11424e-05 179.999
7.56463 0.00154766 -90.0027 0 0 0.000171962 89.9978 0.445697 1.75429e-05 0 0 1 0 0 0 0.00361796 180 1.54766e-08 89.9973 8.4736e-12 90 7.3211e-10 -90 5.7338e-10 90.0003 1.11424e-05 179.999
7.74264 0.00158407 -90.0028 0 0 0.000176008 89.9977 0.445697 1.79557e-05 0 0 1 0 0 0 0.00361796 180 1.58407e-08 89.9972 8.67299e-12 90 7.49338e-10 -90 5.86872e-10 90.0004 1.11424e-05 179.999
7.92483 0.00162135 -90.0029 0 0 0.00018015 89.9977 0.445697 1.83783e-05 0 0 1 0 0 0 0.00361796 180 1.62135e-08 89.9971 8.87707e-12 90 7.6697e-10 -90 6.00682e-10 90.0004 1.11424e-05 179.999
8.11131 0.0016595 -90.0029 0 0 0.000184389 89.9976 0.445697 1.88107e-05 0 0 1 0 0 0 0.00361796 180 1.6595e-08 89.9971 9.08596e-12 90 7.85018e-10 -90 6.14817e-10 90.0004 1.11424e-05 179.999
8.30218 0.00169855 -90.003 0 0 0.000188728 89.9976 0.445697 1.92533e-05 0 0 1 0 0 0 0.00361796 180 1.69855e-08 89.997 9.29976e-12 90 8.0349e-10 -90 6.29284e-10 90.0004 1.11424e-05 179.999
8.49753 0.00173852 -90.0031 0 0 0.000193169 89.9975 0.445697 1.97064e-05 0 0 1 0 0 0 0.00361796 180 1.73852e-08 89.9969 9.5186e-12 90 8.22397e-10 -90 6.44092e-10 90.0004 1.11424e-05 179.999
8.69749 0.00177943 -90.0031 0 0 0.000197714 89.9974 0.445697 2.01701e-05 0 0 1 0 0 0 0.00361796 180 1.77943e-08 89.9969 9.74258e-12 90 8.41749e-10 -90 6.59248e-10 90.0004 1.11424e-05 179.999
8.90215 0.0018213 -90.0032 0 0 0.000202367 89.9974 0.445697 2.06447e-05 0 0 1 0 0 0 0.00361796 180 1.8213e-08 89.9968 9.97183e-12 90 8.61556e-10 -90 6.74761e-10 90.0004 1.11424e-05 179.999
9.11163 0.00186416 -90.0033 0 0 0.000207129 89.9973 0.445697 2.11305e-05 0 0 1 0 0 0 0.00361796 180 1.86416e-08 89.9967 1.02065e-11 90 8.8183e-10 -90 6.90638e-10 90.0004 1.11424e-05 179.999
9.32603 0.00190802 -90.0034 0 0 0.000212002 89.9973 0.445697 2.16277e-05 0 0 1 0 0 0 0.00361796 180 1.90802e-08 89.9966 1.04466e-11 90 9.0258e-10 -90 7.0689e-10 90.0004 1.11424e-05 179.999
9.54548 0.00195292 -90.0035 0 0 0.000216991 89.9972 0.445697 2.21367e-05 0 0 1 0 0 0 0.00361796 180 1.95292e-08 89.9965 1.06925e-11 90 9.23819e-10 -90 7.23524e-10 90.0004 1.11424e-05 179.999
9.7701 0.00199887 -90.0035 0 0 0.000222097 89.9971 0.445697 2.26576e-05 0 0 1 0 0 0 0.00361796 180 1.99887e-08 89.9965 1.09441e-11 90 9.45557e-10 -90 7.40549e-10 90.0004 1.11424e-05 179.999
10 0.00204591 -90.0036 0 0 0.000227323 89.9971 0.445697 2.31907e-05 0 0 1 0 0 0 0.00361796 180 2.04591e-08 89.9964 1.12016e-11 90 9.67807e-10 -90 7.57975e-10 90.0005 1.11424e-05 179.999
10.2353 0.00209405 -90.0037 0 0 0.000232672 89.997 0.445697 2.37364e-05 0 0 1 0 0 0 0.00361796 180 2.09405e-08 89.9963 1.14652e-11 90 9.9058e-10 -90 7.75811e-10 90.0005 1.11424e-05 179.999
