f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
2.71859 28345.8 179.916 0 0 0.666738 -0.0279222 0 0 0.253879 -179.918 1 0 290.614 -0.0840687 0 0 1.93674e-08 -90.0841 2.60244e-14 -89.957 2.83458 179.916 3.54323 -0.08407
2.78256 28345.8 179.914 0 0 0.666738 -0.0285792 0 0 0.253879 -179.916 1 0 290.614 -0.0860469 0 0 1.98232e-08 -90.086 2.66368e-14 -89.956 2.83458 179.914 3.54323 -0.0860482
2.84804 28345.8 179.912 0 0 0.666738 -0.0292517 0 0 0.253879 -179.914 1 0 290.614 -0.0880717 0 0 2.02896e-08 -90.0881 2.72636e-14 -89.955 2.83458 179.912 3.54323 -0.088073
2.91505 28345.8 179.91 0 0 0.666738 -0.02994 0 0 0.253879 -179.912 1 0 290.614 -0.0901441 0 0 2.07671e-08 -90.0901 2.79052e-14 -89.9539 2.83458 179.91 3.54323 -0.0901455
2.98365 28345.8 179.908 0 0 0.666738 -0.0306445 0 0 0.253879 -179.91 1 0 290.614 -0.0922653 0 0 2.12557e-08 -90.0923 2.85618e-14 -89.9528 2.83458 179.908 3.54323 -0.0922667
3.05386 28345.8 179.906 0 0 0.666738 -0.0313656 0 0 0.25388 -179.907 1 0 290.614 -0.0944364 0 0 2.17559e-08 -90.0944 2.92339e-14 -89.9517 2.83458 179.906 3.54323 -0.0944378
3.12572 28345.8 179.903 0 0 0.666738 -0.0321037 0 0 0.25388 -179.905 1 0 290.614 -0.0966586 0 0 2.22679e-08 -90.0967 2.99218e-14 -89.9506 2.83458 179.903 3.54323 -0.09666
3.19927 28345.8 179.901 0 0 0.666738 -0.0328591 0 0 0.25388 -179.903 1 0 290.614 -0.098933 0 0 2.27918e-08 -90.0989 3.06259e-14 -89.9494 2.83458 179.901 3.54323 -0.0989345
3.27455 28345.8 179.899 0 0 0.666738 -0.0336323 0 0 0.25388 -179.901 1 0 290.614 -0.101261 0 0 2.33281e-08 -90.1013 3.13465e-14 -89.9483 2.83458 179.899 3.54323 -0.101263
3.3516 28345.8 179.896 0 0 0.666738 -0.0344237 0 0 0.25388 -179.898 1 0 290.614 -0.103644 0 0 2.38771e-08 -90.1036 3.20842e-14 -89.947 2.83458 179.896 3.54323 -0.103645
3.43047 28345.8 179.894 0 0 0.666738 -0.0352337 0 0 0.25388 -179.896 1 0 290.614 -0.106083 0 0 2.44389e-08 -90.1061 3.28391e-14 -89.9458 2.83458 179.894 3.54323 -0.106084
3.51119 28345.8 179.891 0 0 0.666738 -0.0360628 0 0 0.25388 -179.894 1 0 290.614 -0.108579 0 0 2.5014e-08 -90.1086 3.36119e-14 -89.9445 2.83458 179.891 3.54323 -0.10858
3.59381 28345.8 179.889 0 0 0.666738 -0.0369114 0 0 0.25388 -179.891 1 0 290.614 -0.111134 0 0 2.56026e-08 -90.1111 3.44028e-14 -89.9432 2.83458 179.889 3.54323 -0.111135
3.67838 28345.8 179.886 0 0 0.666738 -0.03778 0 0 0.25388 -179.889 1 0 290.614 -0.113749 0 0 2.62051e-08 -90.1138 3.52124e-14 -89.9419 2.83458 179.886 3.54323 -0.113751
3.76494 28345.8 179.884 0 0 0.666738 -0.038669 0 0 0.25388 -179.886 1 0 290.614 -0.116426 0 0 2.68217e-08 -90.1164 3.60409e-14 -89.9405 2.83458 179.884 3.54323 -0.116427
3.85353 28345.8 179.881 0 0 0.666738 -0.0395789 0 0 0.25388 -179.883 1 0 290.614 -0.119165 0 0 2.74528e-08 -90.1192 3.6889e-14 -89.9391 2.83458 179.881 3.54322 -0.119167
