f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
3.12572 2.7277e-07 90 1 0 0.0034379 -179.996 1.00002 -1.06456e-07 1 0 0.00156717 2.84218e-05 0.891358 -5.10919e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00448452 0.00171163 -179.996 0 0 0 0 0 0 7.00231e-15 90 1.19667e-17 -89.9955 1.44113e-14 -90 1.05191e-16 -89.9955 3.21408e-07 180
3.19927 2.79189e-07 90 1 0 0.0034379 -179.995 1.00002 -1.08961e-07 1 0 0.00156717 2.90906e-05 0.891358 -5.22942e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00459004 0.00171163 -179.995 0 0 0 0 0 0 7.16708e-15 90 1.22483e-17 -89.9954 1.47504e-14 -90 1.07666e-16 -89.9954 3.21408e-07 180
3.27455 2.85758e-07 90 1 0 0.0034379 -179.995 1.00002 -1.11525e-07 1 0 0.00156717 2.97751e-05 0.891358 -5.35247e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00469805 0.00171163 -179.995 0 0 0 0 0 0 7.33573e-15 90 1.25365e-17 -89.9953 1.50975e-14 -90 1.102e-16 -89.9953 3.21408e-07 180
3.3516 2.92483e-07 90 1 0 0.0034379 -179.995 1.00002 -1.1415e-07 1 0 0.00156717 3.04757e-05 0.891358 -5.47842e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0048086 0.00171163 -179.995 0 0 0 0 0 0 7.50835e-15 90 1.28315e-17 -89.9952 1.54527e-14 -90 1.12793e-16 -89.9952 3.21408e-07 180
3.43047 2.99365e-07 90 1 0 0.0034379 -179.995 1.00002 -1.16836e-07 1 0 0.00156717 3.11928e-05 0.891358 -5.60733e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00492175 0.00171163 -179.995 0 0 0 0 0 0 7.68503e-15 90 1.31334e-17 -89.9951 1.58164e-14 -90 1.15447e-16 -89.9951 3.21408e-07 180
3.51119 3.06409e-07 90 1 0 0.0034379 -179.995 1.00002 -1.19585e-07 1 0 0.00156717 3.19268e-05 0.891358 -5.73928e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00503756 0.00171163 -179.995 0 0 0 0 0 0 7.86586e-15 90 1.34425e-17 -89.995 1.61885e-14 -90 1.18163e-16 -89.995 3.21408e-07 180
3.59381 3.13619e-07 90 1 0 0.0034379 -179.995 1.00002 -1.22399e-07 1 0 0.00156717 3.26781e-05 0.891358 -5.87433e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0051561 0.00171163 -179.995 0 0 0 0 0 0 8.05095e-15 90 1.37588e-17 -89.9948 1.65695e-14 -90 1.20944e-16 -89.9948 3.21408e-07 180
3.67838 3.20999e-07 90 1 0 0.0034379 -179.995 1.00002 -1.25279e-07 1 0 0.00156717 3.34471e-05 0.891358 -6.01256e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00527743 0.00171163 -179.995 0 0 0 0 0 0 8.2404e-15 90 1.40826e-17 -89.9947 1.69594e-14 -90 1.2379e-16 -89.9947 3.21408e-07 180
3.76494 3.28553e-07 90 1 0 0.0034379 -179.995 1.00002 -1.28227e-07 1 0 0.00156717 3.42341e-05 0.891358 -6.15404e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00540162 0.00171163 -179.995 0 0 0 0 0 0 8.43431e-15 90 1.44139e-17 -89.9946 1.73584e-14 -90 1.26703e-16 -89.9946 3.21408e-07 180
3.85353 3.36284e-07 90 1 0 0.0034379 -179.994 1.00002 -1.31244e-07 1 0 0.00156717 3.50397e-05 0.891358 -6.29885e-08 0 0 0.00175019 -179.994 0.0015233 -179.994 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00552872 0.00171163 -179.994 0 0 0 0 0 0 8.63278e-15 90 1.47531e-17 -89.9945 1.77669e-14 -90 1.29684e-16 -89.9945 3.21408e-07 180
3.94421 3.44197e-07 90 1 0 0.0034379 -179.994 1.00002 -1.34333e-07 1 0 0.00156717 3.58642e-05 0.891358 -6.44707e-08 0 0 0.00175019 -179.994 0.0015233 -179.994 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00565882 0.00171163 -179.994 0 0 0 0 0 0 8.83591e-15 90 1.51003e-17 -89.9943 1.8185e-14 -90 1.32736e-16 -89.9943 3.21408e-07 180
4.03702 3.52296e-07 90 1 0 0.0034379 -179.994 1.00002 -1.37494e-07 1 0 0.00156717 3.67081e-05 0.891358 -6.59878e-08 0 0 0.00175019 -179.994 0.0015233 -179.994 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00579198 0.00171163 -179.994 0 0 0 0 0 0 9.04383e-15 90 1.54556e-17 -89.9942 1.86129e-14 -90 1.35859e-16 -89.9942 3.21408e-07 180
