f 1m 1f 2m 2f jV0200m jV0200f 
2.34423 0.234351 1.54736 10 -0 0.234351 -1.59423 
2.39883 0.239807 1.54681 10 -0 0.239807 -1.59478 
2.45471 0.245389 1.54625 10 -0 0.245389 -1.59534 
2.51189 0.251102 1.54568 10 -0 0.251102 -1.59591 
2.5704 0.256947 1.5451 10 -0 0.256947 -1.59649 
2.63027 0.262928 1.5445 10 -0 0.262928 -1.59709 
2.69153 0.269048 1.54389 10 -0 0.269048 -1.5977 
2.75423 0.27531 1.54326 10 -0 0.27531 -1.59833 
2.81838 0.281718 1.54262 10 -0 0.281718 -1.59897 
2.88403 0.288274 1.54196 10 -0 0.288274 -1.59963 
2.95121 0.294983 1.54129 10 -0 0.294983 -1.6003 
3.01995 0.301848 1.54061 10 -0 0.301848 -1.60099 
3.0903 0.308873 1.5399 10 -0 0.308873 -1.60169 
3.16228 0.31606 1.53919 10 -0 0.31606 -1.60241 
3.23594 0.323414 1.53845 10 -0 0.323414 -1.60314 
3.31131 0.330939 1.5377 10 -0 0.330939 -1.6039 
3.38844 0.338639 1.53693 10 -0 0.338639 -1.60467 
3.46737 0.346518 1.53614 10 -0 0.346518 -1.60546 
3.54813 0.354579 1.53533 10 -0 0.354579 -1.60626 
3.63078 0.362828 1.53451 10 -0 0.362828 -1.60709 
3.71535 0.371268 1.53366 10 -0 0.371268 -1.60793 
3.80189 0.379903 1.5328 10 -0 0.379903 -1.6088 
3.89045 0.388739 1.53191 10 -0 0.388739 -1.60968 
3.98107 0.39778 1.53101 10 -0 0.39778 -1.61058 
4.0738 0.40703 1.53008 10 -0 0.40703 -1.61151 
4.16869 0.416495 1.52913 10 -0 0.416495 -1.61246 
4.2658 0.426179 1.52817 10 -0 0.426179 -1.61343 
4.36516 0.436087 1.52717 10 -0 0.436087 -1.61442 
4.46684 0.446225 1.52616 10 -0 0.446225 -1.61543 
4.57088 0.456597 1.52512 10 -0 0.456597 -1.61647 
4.67735 0.46721 1.52406 10 -0 0.46721 -1.61753 
4.7863 0.478068 1.52297 10 -0 0.478068 -1.61862 
4.89779 0.489177 1.52186 10 -0 0.489177 -1.61973 
5.01187 0.500543 1.52072 10 -0 0.500543 -1.62087 
5.12861 0.512172 1.51956 10 -0 0.512172 -1.62204 
5.24807 0.52407 1.51837 10 -0 0.52407 -1.62323 
5.37032 0.536242 1.51715 10 -0 0.536242 -1.62445 
5.49541 0.548696 1.5159 10 -0 0.548696 -1.62569 
5.62341 0.561437 1.51462 10 -0 0.561437 -1.62697 
5.7544 0.574472 1.51332 10 -0 0.574472 -1.62828 
5.88844 0.587807 1.51198 10 -0 0.587807 -1.62961 
6.0256 0.60145 1.51061 10 -0 0.60145 -1.63098 
6.16595 0.615407 1.50922 10 -0 0.615407 -1.63238 
6.30957 0.629686 1.50779 10 -0 0.629686 -1.63381 
6.45654 0.644293 1.50632 10 -0 0.644293 -1.63527 
6.60693 0.659236 1.50482 10 -0 0.659236 -1.63677 
6.76083 0.674522 1.50329 10 -0 0.674522 -1.6383 
6.91831 0.69016 1.50173 10 -0 0.69016 -1.63987 
7.07946 0.706157 1.50012 10 -0 0.706157 -1.64147 
7.24436 0.72252 1.49848 10 -0 0.72252 -1.64311 
7.4131 0.739259 1.4968 10 -0 0.739259 -1.64479 
7.58578 0.756381 1.49509 10 -0 0.756381 -1.64651 
7.76247 0.773895 1.49333 10 -0 0.773895 -1.64826 
7.94328 0.79181 1.49153 10 -0 0.79181 -1.65006 
8.12831 0.810134 1.48969 10 -0 0.810134 -1.6519 
8.31764 0.828876 1.48781 10 -0 0.828876 -1.65378 
8.51138 0.848046 1.48589 10 -0 0.848046 -1.6557 
8.70964 0.867652 1.48392 10 -0 0.867652 -1.65767 
8.91251 0.887705 1.48191 10 -0 0.887705 -1.65968 
9.12011 0.908213 1.47985 10 -0 0.908213 -1.66174 
9.33254 0.929188 1.47774 10 -0 0.929188 -1.66385 
9.54993 0.950638 1.47559 10 -0 0.950638 -1.666 
9.77237 0.972574 1.47338 10 -0 0.972574 -1.66821 
10 0.995007 1.47113 10 -0 0.995007 -1.67046 
10.2329 1.01795 1.46883 10 -0 1.01795 -1.67277 
10.4713 1.0414 1.46647 10 -0 1.0414 -1.67513 
10.7152 1.06539 1.46405 10 -0 1.06539 -1.67754 
10.9648 1.08991 1.46159 10 -0 1.08991 -1.68 
11.2202 1.11499 1.45907 10 -0 1.11499 -1.68253 
11.4815 1.14062 1.45649 10 -0 1.14062 -1.68511 
11.749 1.16684 1.45385 10 -0 1.16684 -1.68775 
12.0226 1.19363 1.45115 10 -0 1.19363 -1.69044 
12.3027 1.22103 1.44839 10 -0 1.22103 -1.6932 
12.5893 1.24903 1.44557 10 -0 1.24903 -1.69603 
12.8825 1.27765 1.44268 10 -0 1.27765 -1.69891 
13.1826 1.30691 1.43973 10 -0 1.30691 -1.70186 
13.4896 1.33681 1.43671 10 -0 1.33681 -1.70488 
13.8038 1.36738 1.43363 10 -0 1.36738 -1.70796 
14.1254 1.39861 1.43048 10 -0 1.39861 -1.71112 
14.4544 1.43053 1.42725 10 -0 1.43053 -1.71434 
14.7911 1.46314 1.42395 10 -0 1.46314 -1.71764 
15.1356 1.49647 1.42058 10 -0 1.49647 -1.72101 
15.4882 1.53052 1.41714 10 -0 1.53052 -1.72445 
15.8489 1.56531 1.41362 10 -0 1.56531 -1.72797 
16.2181 1.60084 1.41002 10 -0 1.60084 -1.73157 
16.5959 1.63714 1.40634 10 -0 1.63714 -1.73525 
16.9824 1.67422 1.40258 10 -0 1.67422 -1.73901 
17.378 1.71209 1.39874 10 -0 1.71209 -1.74285 
17.7828 1.75076 1.39481 10 -0 1.75076 -1.74678 
18.197 1.79025 1.3908 10 -0 1.79025 -1.75079 
18.6209 1.83057 1.3867 10 -0 1.83057 -1.75489 
19.0546 1.87173 1.38251 10 -0 1.87173 -1.75908 
19.4984 1.91375 1.37823 10 -0 1.91375 -1.76336 
19.9526 1.95664 1.37386 10 -0 1.95664 -1.76773 
20.4174 2.00041 1.3694 10 -0 2.00041 -1.7722 
20.893 2.04508 1.36484 10 -0 2.04508 -1.77676 
21.3796 2.09065 1.36018 10 -0 2.09065 -1.78142 
